suicide_rate_rank,country,Region,year,sex,age,population,suicides_per_100k,next_stat_100k,nextstat_per_100k_diff,annual_gdp($),generation,Happiness Score,gdp_per_capita,life_expectancy,Freedom,trust_factor,dystopia_residual
1,Argentina,Latin America and Caribbean,2015,male,75+ years,712691,34.38,18.74,15.640000000000004,"594,749,285,413",Silent,6.574,1.05351,0.78723,0.44974,0.08484,2.836
2,Argentina,Latin America and Caribbean,2015,male,15-24 years,3500580,18.74,14.31,4.429999999999998,"594,749,285,413",Millenials,6.574,1.05351,0.78723,0.44974,0.08484,2.836
3,Argentina,Latin America and Caribbean,2015,male,55-74 years,3011963,14.31,14.13,0.17999999999999972,"594,749,285,413",Boomers,6.574,1.05351,0.78723,0.44974,0.08484,2.836
4,Argentina,Latin America and Caribbean,2015,male,25-34 years,3289927,14.13,12.25,1.8800000000000008,"594,749,285,413",Millenials,6.574,1.05351,0.78723,0.44974,0.08484,2.836
5,Argentina,Latin America and Caribbean,2015,male,35-54 years,5166179,12.25,4.51,7.74,"594,749,285,413",Generation X,6.574,1.05351,0.78723,0.44974,0.08484,2.836
6,Argentina,Latin America and Caribbean,2015,female,15-24 years,3394201,4.51,3.55,0.96,"594,749,285,413",Millenials,6.574,1.05351,0.78723,0.44974,0.08484,2.836
7,Argentina,Latin America and Caribbean,2015,female,55-74 years,3520779,3.55,3.52,0.029999999999999805,"594,749,285,413",Boomers,6.574,1.05351,0.78723,0.44974,0.08484,2.836
8,Argentina,Latin America and Caribbean,2015,female,25-34 years,3235582,3.52,3.13,0.3900000000000001,"594,749,285,413",Millenials,6.574,1.05351,0.78723,0.44974,0.08484,2.836
9,Argentina,Latin America and Caribbean,2015,female,35-54 years,5301368,3.13,2.01,1.12,"594,749,285,413",Generation X,6.574,1.05351,0.78723,0.44974,0.08484,2.836
10,Argentina,Latin America and Caribbean,2015,female,75+ years,1344980,2.01,1.06,0.9499999999999997,"594,749,285,413",Silent,6.574,1.05351,0.78723,0.44974,0.08484,2.836
11,Argentina,Latin America and Caribbean,2015,male,5-14 years,3672155,1.06,0.54,0.52,"594,749,285,413",Generation Z,6.574,1.05351,0.78723,0.44974,0.08484,2.836
12,Argentina,Latin America and Caribbean,2015,female,5-14 years,3549219,0.54,0,0.54,"594,749,285,413",Generation Z,6.574,1.05351,0.78723,0.44974,0.08484,2.836
1,Armenia,Central and Eastern Europe,2015,male,75+ years,61355,19.56,19.37,0.18999999999999773,"10,553,337,673",Silent,4.35,0.76821,0.7299,0.19847,0.039,1.75873
2,Armenia,Central and Eastern Europe,2016,male,75+ years,61956,19.37,6.92,12.450000000000001,"10,546,135,160",Silent,4.36,0.86086,0.64083,0.14037,0.03616,1.97864
3,Armenia,Central and Eastern Europe,2015,male,55-74 years,231213,6.92,6.73,0.1899999999999995,"10,553,337,673",Boomers,4.35,0.76821,0.7299,0.19847,0.039,1.75873
4,Armenia,Central and Eastern Europe,2016,male,55-74 years,237813,6.73,4.96,1.7700000000000005,"10,546,135,160",Boomers,4.36,0.86086,0.64083,0.14037,0.03616,1.97864
5,Armenia,Central and Eastern Europe,2015,female,75+ years,100754,4.96,4.56,0.40000000000000036,"10,553,337,673",Silent,4.35,0.76821,0.7299,0.19847,0.039,1.75873
6,Armenia,Central and Eastern Europe,2016,male,35-54 years,350633,4.56,4.21,0.34999999999999964,"10,546,135,160",Generation X,4.36,0.86086,0.64083,0.14037,0.03616,1.97864
7,Armenia,Central and Eastern Europe,2015,male,35-54 years,356715,4.21,3.91,0.2999999999999998,"10,553,337,673",Generation X,4.35,0.76821,0.7299,0.19847,0.039,1.75873
8,Armenia,Central and Eastern Europe,2015,male,25-34 years,255540,3.91,2.47,1.44,"10,553,337,673",Millenials,4.35,0.76821,0.7299,0.19847,0.039,1.75873
9,Armenia,Central and Eastern Europe,2016,male,15-24 years,202220,2.47,1.95,0.5200000000000002,"10,546,135,160",Millenials,4.36,0.86086,0.64083,0.14037,0.03616,1.97864
10,Armenia,Central and Eastern Europe,2016,female,75+ years,102414,1.95,1.68,0.27,"10,546,135,160",Silent,4.36,0.86086,0.64083,0.14037,0.03616,1.97864
10,Armenia,Central and Eastern Europe,2016,female,55-74 years,308349,1.95,1.95,0.0,"10,546,135,160",Boomers,4.36,0.86086,0.64083,0.14037,0.03616,1.97864
11,Armenia,Central and Eastern Europe,2015,female,55-74 years,297936,1.68,1.56,0.11999999999999988,"10,553,337,673",Boomers,4.35,0.76821,0.7299,0.19847,0.039,1.75873
12,Armenia,Central and Eastern Europe,2016,male,25-34 years,255665,1.56,1.42,0.14000000000000012,"10,546,135,160",Millenials,4.36,0.86086,0.64083,0.14037,0.03616,1.97864
13,Armenia,Central and Eastern Europe,2015,female,15-24 years,212010,1.42,0.97,0.44999999999999996,"10,553,337,673",Millenials,4.35,0.76821,0.7299,0.19847,0.039,1.75873
14,Armenia,Central and Eastern Europe,2015,female,35-54 years,412360,0.97,0.92,0.04999999999999993,"10,553,337,673",Generation X,4.35,0.76821,0.7299,0.19847,0.039,1.75873
15,Armenia,Central and Eastern Europe,2015,male,15-24 years,216876,0.92,0.74,0.18000000000000005,"10,553,337,673",Millenials,4.35,0.76821,0.7299,0.19847,0.039,1.75873
16,Armenia,Central and Eastern Europe,2016,female,35-54 years,408109,0.74,0.73,0.010000000000000009,"10,546,135,160",Generation X,4.36,0.86086,0.64083,0.14037,0.03616,1.97864
17,Armenia,Central and Eastern Europe,2015,female,25-34 years,274108,0.73,0.72,0.010000000000000009,"10,553,337,673",Millenials,4.35,0.76821,0.7299,0.19847,0.039,1.75873
18,Armenia,Central and Eastern Europe,2016,female,25-34 years,277452,0.72,0.51,0.20999999999999996,"10,546,135,160",Millenials,4.36,0.86086,0.64083,0.14037,0.03616,1.97864
19,Armenia,Central and Eastern Europe,2016,female,15-24 years,195422,0.51,0.0,0.51,"10,546,135,160",Millenials,4.36,0.86086,0.64083,0.14037,0.03616,1.97864
20,Armenia,Central and Eastern Europe,2015,female,5-14 years,175417,0.0,0,0.0,"10,553,337,673",Generation Z,4.35,0.76821,0.7299,0.19847,0.039,1.75873
20,Armenia,Central and Eastern Europe,2015,male,5-14 years,201051,0.0,0.0,0.0,"10,553,337,673",Generation Z,4.35,0.76821,0.7299,0.19847,0.039,1.75873
1,Australia,Australia and New Zealand,2015,male,35-54 years,3149299,29.97,26.86,3.1099999999999994,"1,349,034,029,453",Generation X,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
2,Australia,Australia and New Zealand,2015,male,75+ years,673787,26.86,24.0,2.8599999999999994,"1,349,034,029,453",Silent,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
3,Australia,Australia and New Zealand,2015,male,25-34 years,1762265,24.0,19.55,4.449999999999999,"1,349,034,029,453",Millenials,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
